"point" "x" "y" "z"
"1" "-7.17539978" "-13.32030010" "-0.98580003"
"2" "-7.30620003" "-16.32150078" "3.96889997"
"3" "-7.12550020" "-16.35899925" "8.15670013"
"4" "-7.18450022" "-16.37159920" "7.62750006"
"5" "-7.25059986" "-16.41370010" "7.70469999"
"6" "-6.29419994" "-17.71240044" "11.09869957"
"7" "-4.86210012" "-16.37299919" "11.33390045"
"8" "-5.12410021" "-16.34059906" "11.74069977"
"9" "-5.24809980" "-16.29170036" "11.92689991"
"10" "-5.29500008" "-16.28919983" "12.00080013"
"11" "-8.31029987" "-16.61459923" "10.10519981"
"12" "-5.45349979" "-16.04380035" "12.20069981"
"13" "-6.38140011" "-16.94549942" "12.45820045"
"14" "-6.96369982" "-16.85939980" "11.97560024"
"15" "-7.51000023" "-16.35269928" "11.43820000"
"16" "-8.15110016" "-17.48049927" "12.38679981"
"17" "-7.14160013" "-16.39290047" "12.18770027"
"18" "-7.18760014" "-16.37910080" "12.25389957"
"19" "-6.26240015" "-17.54789925" "15.39109993"
"20" "-7.02909994" "-17.75209999" "15.09889984"
"21" "-9.04909992" "-16.93219948" "13.61279964"
"22" "-8.03559971" "-17.09799957" "15.03079987"
"23" "-7.38740015" "-15.60820007" "13.81120014"
"24" "-8.15530014" "-16.96750069" "15.19970036"
"25" "-7.18450022" "-16.06889915" "15.02309990"
"26" "-7.42140007" "-15.21119976" "13.80910015"
"27" "-8.84759998" "-16.61520004" "14.71870041"
"28" "-6.94810009" "-14.93430042" "14.41569996"
"29" "-8.81709957" "-16.85219955" "16.22019958"
"30" "-8.46210003" "-16.05719948" "15.55589962"
"31" "-9.73670006" "-16.98049927" "16.07069969"
"32" "-6.32870007" "-16.54960060" "18.84429932"
"33" "-7.38229990" "-17.26939964" "19.14679909"
"34" "-7.13759995" "-16.42049980" "18.43099976"
"35" "-6.62260008" "-16.11479950" "19.28879929"
"36" "-7.73559999" "-15.92990017" "19.44020081"
"37" "-8.93889999" "-16.35549927" "19.84760094"
"38" "-9.79609966" "-15.39229965" "17.59199905"
"39" "-5.22370005" "-15.98779964" "9.88189983"
"40" "-6.75540018" "-17.57309914" "11.15999985"
"41" "-6.27670002" "-17.39290047" "11.83469963"
"42" "-5.51259995" "-16.35689926" "11.90590000"
"43" "-6.94899988" "-16.48399925" "11.54240036"
"44" "-6.64260006" "-16.92530060" "12.49279976"
"45" "-6.09889984" "-18.90130043" "15.06060028"
"46" "-6.12109995" "-18.66419983" "15.07069969"
"47" "-5.96519995" "-17.76749992" "14.62679958"
"48" "-6.06969976" "-17.64809990" "14.81879997"
"49" "-4.87319994" "-18.02179909" "16.26230049"
"50" "-8.72830009" "-17.01409912" "13.00720024"
"51" "-7.23850012" "-16.38179970" "13.54730034"
"52" "-7.41190004" "-16.43129921" "13.85729980"
"53" "-7.99130011" "-17.22760010" "14.91339970"
"54" "-9.26539993" "-16.74419975" "13.87819958"
"55" "-7.44680023" "-15.51099968" "13.88329983"
"56" "-7.18340015" "-16.08440018" "15.03940010"
"57" "-6.88700008" "-15.09899998" "14.39109993"
"58" "-6.91039991" "-14.92829990" "14.41759968"
"59" "-9.41219997" "-15.65830040" "14.16059971"
"60" "-5.35230017" "-17.29980087" "19.38500023"
"61" "-9.02219963" "-16.67070007" "16.69219971"
"62" "-9.91829967" "-16.88319969" "16.50799942"
"63" "-8.49960041" "-15.49250031" "15.72000027"
"64" "-5.93660021" "-15.38169956" "17.88500023"
"65" "-7.18190002" "-16.40570068" "18.79520035"
"66" "-7.95550013" "-16.24329948" "18.32920074"
"67" "-9.16209984" "-17.03300095" "18.79310036"
"68" "-9.16779995" "-16.91559982" "18.79000092"
"69" "-5.42110014" "-14.73569965" "18.58869934"
"70" "-7.66359997" "-16.51099968" "19.82719994"
"71" "-5.40310001" "-16.45280075" "21.70660019"
"72" "-8.53999996" "-16.36310005" "19.48999977"
"73" "-7.39909983" "-16.46269989" "21.49160004"
"74" "-9.70930004" "-15.09819984" "-1.29429996"
"75" "-7.12150002" "-16.33250046" "3.19689989"
"76" "-8.08829975" "-16.66099930" "10.30270004"
"77" "-7.52930021" "-16.80739975" "9.96220016"
"78" "-7.01800013" "-16.41589928" "9.51189995"
"79" "-6.99020004" "-16.49880028" "9.51589966"
"80" "-6.45739985" "-16.97069931" "9.28979969"
"81" "-7.00449991" "-16.44549942" "6.36000013"
"82" "-7.01280022" "-16.37859917" "3.52670002"
"83" "-9.13840008" "-16.46509933" "19.72579956"
"84" "-8.53059959" "-16.42779922" "18.89979935"
"85" "-8.36859989" "-16.58919907" "18.75749969"
"86" "-7.58400011" "-16.38030052" "19.15999985"
"87" "-7.74779987" "-16.27860069" "17.79759979"
"88" "-7.06580019" "-16.57180023" "18.53610039"
"89" "-7.14510012" "-16.41390038" "17.06949997"
"90" "-10.02639961" "-16.84670067" "14.07979965"
"91" "-10.00769997" "-16.95170021" "14.08339977"
"92" "-6.76469994" "-15.11690044" "14.70189953"
"93" "-6.01370001" "-16.21850014" "16.90290070"
"94" "-9.50100040" "-16.90159988" "13.56089973"
"95" "-7.73180008" "-16.85000038" "15.26449966"
"96" "-6.53439999" "-15.48040009" "14.56620026"
"97" "-9.81410027" "-17.07489967" "12.77149963"
"98" "-8.01659966" "-17.24270058" "14.45969963"
"99" "-8.64949989" "-16.84779930" "12.68990040"
"100" "-7.41239977" "-16.52449989" "13.57050037"
"101" "-7.17140007" "-16.36090088" "12.14260006"
"102" "-6.00209999" "-16.03709984" "12.96529961"
"103" "-5.48470020" "-17.83779907" "15.59969997"
"104" "-7.94339991" "-16.38780022" "10.84930038"
"105" "-7.72440004" "-17.38820076" "11.87250042"
"106" "-7.21420002" "-16.38439941" "11.14239979"
"107" "-5.92689991" "-16.48800087" "11.92070007"
"108" "-4.75680017" "-18.17810059" "14.84720039"
"109" "-7.02279997" "-16.44169998" "9.96829987"
"110" "-5.50890017" "-16.64130020" "11.51049995"
"111" "-4.86660004" "-16.30279922" "11.75949955"
"112" "-7.12720013" "-16.37479973" "9.10859966"
"113" "-4.65129995" "-16.32640076" "11.52299976"
"114" "-6.30039978" "-17.67810059" "10.49839973"
"115" "-7.08830023" "-17.74629974" "9.24450016"
"116" "-7.07250023" "-16.38640022" "6.41720009"
"117" "-7.01090002" "-16.38269997" "4.72230005"
"118" "-7.10069990" "-16.33600044" "4.00050020"
"119" "-7.22499990" "-16.34370041" "3.30669999"
"120" "-8.76309967" "-14.55399990" "25.45919991"
"121" "-7.24720001" "-16.18810081" "23.43210030"
"122" "-7.65660000" "-15.18210030" "19.67289925"
"123" "-7.53959990" "-15.39379978" "19.56320000"
"124" "-9.19939995" "-16.22100067" "19.08950043"
"125" "-5.48649979" "-16.51729965" "22.36090088"
"126" "-7.37060022" "-15.95779991" "19.51329994"
"127" "-8.05770016" "-16.39629936" "19.06180000"
"128" "-6.30630016" "-15.74040031" "19.36599922"
"129" "-5.77880001" "-15.20100021" "18.13820076"
"130" "-6.69799995" "-15.99639988" "18.37770081"
"131" "-7.59420013" "-16.63409996" "18.39979935"
"132" "-8.49940014" "-17.37919998" "18.37809944"
"133" "-8.47360039" "-17.77280045" "18.45569992"
"134" "-7.07649994" "-16.38400078" "17.47340012"
"135" "-5.81729984" "-17.25090027" "19.20840073"
"136" "-4.03719997" "-16.42060089" "19.25839996"
"137" "-7.52150011" "-16.78580093" "16.70610046"
"138" "-5.91540003" "-16.41220093" "17.20249939"
"139" "-5.76599979" "-16.32040024" "16.90649986"
"140" "-7.42080021" "-16.53470039" "14.99800014"
"141" "-7.99580002" "-17.96540070" "16.17169952"
