//X Y Z Planarity_(0.155122) Surface_variation_(0.155122) Verticality_(0.155122)
-7.17539978 -13.32030010 -0.98580003 0.294765 0.218785 0.804134
-7.30620003 -16.32150078 3.96889997 0.746027 0.102979 0.963952
-7.12550020 -16.35899925 8.15670013 0.598654 0.070591 0.915110
-7.18450022 -16.37159920 7.62750006 0.576271 0.057136 0.969122
-7.25059986 -16.41370010 7.70469999 0.674908 0.093756 0.938425
-6.29419994 -17.71240044 11.09869957 0.171063 0.240232 0.785882
-4.86210012 -16.37299919 11.33390045 0.342369 0.188386 0.862707
-5.12410021 -16.34059906 11.74069977 0.454923 0.139450 0.591290
-5.24809980 -16.29170036 11.92689991 0.525983 0.110891 0.644911
-5.29500008 -16.28919983 12.00080013 0.587532 0.123000 0.413967
-8.31029987 -16.61459923 10.10519981 0.038642 0.236122 0.673746
-5.45349979 -16.04380035 12.20069981 0.354895 0.119721 0.138754
-6.38140011 -16.94549942 12.45820045 0.106330 0.232853 0.387788
-6.96369982 -16.85939980 11.97560024 0.231076 0.101230 0.812575
-7.51000023 -16.35269928 11.43820000 0.119249 0.033206 0.037464
-8.15110016 -17.48049927 12.38679981 0.380566 0.136112 0.309521
-7.14160013 -16.39290047 12.18770027 0.598268 0.135891 0.965008
-7.18760014 -16.37910080 12.25389957 0.360373 0.135893 0.949847
-6.26240015 -17.54789925 15.39109993 0.180008 0.088619 0.995692
-7.02909994 -17.75209999 15.09889984 0.082082 0.253188 0.074192
-9.04909992 -16.93219948 13.61279964 0.242450 0.226228 0.699382
-8.03559971 -17.09799957 15.03079987 0.321898 0.140640 0.648925
-7.38740015 -15.60820007 13.81120014 0.326471 0.172986 0.820631
-8.15530014 -16.96750069 15.19970036 0.328922 0.149220 0.053167
-7.18450022 -16.06889915 15.02309990 0.134052 0.247679 0.292066
-7.42140007 -15.21119976 13.80910015 0.171124 0.167731 0.934978
-8.84759998 -16.61520004 14.71870041 0.523044 0.146660 0.180283
-6.94810009 -14.93430042 14.41569996 0.234622 0.181985 0.810867
-8.81709957 -16.85219955 16.22019958 0.375768 0.078968 0.700297
-8.46210003 -16.05719948 15.55589962 0.199988 0.000003 0.399159
-9.73670006 -16.98049927 16.07069969 0.288468 0.088652 0.908069
-6.32870007 -16.54960060 18.84429932 0.277713 0.067166 0.891208
-7.38229990 -17.26939964 19.14679909 0.683440 0.046742 0.662438
-7.13759995 -16.42049980 18.43099976 0.251915 0.192949 0.748766
-6.62260008 -16.11479950 19.28879929 0.253125 0.110180 0.692166
-7.73559999 -15.92990017 19.44020081 0.483856 0.164337 0.947658
-8.93889999 -16.35549927 19.84760094 0.619729 0.108544 0.208255
-9.79609966 -15.39229965 17.59199905 0.252624 0.033239 0.309015
-5.22370005 -15.98779964 9.88189983 0.312330 0.177970 0.568117
-6.75540018 -17.57309914 11.15999985 0.498688 0.166136 0.781004
-6.27670002 -17.39290047 11.83469963 0.349878 0.133660 0.458019
-5.51259995 -16.35689926 11.90590000 0.486232 0.100395 0.304908
-6.94899988 -16.48399925 11.54240036 0.186464 0.209499 0.323277
-6.64260006 -16.92530060 12.49279976 0.312741 0.222713 0.622491
-6.09889984 -18.90130043 15.06060028 0.247115 0.191261 0.052860
-6.12109995 -18.66419983 15.07069969 0.266277 0.228645 0.259433
-5.96519995 -17.76749992 14.62679958 0.151014 0.184771 0.527718
-6.06969976 -17.64809990 14.81879997 0.368908 0.170972 0.779031
-4.87319994 -18.02179909 16.26230049 0.277110 0.155634 0.060061
-8.72830009 -17.01409912 13.00720024 0.285418 0.185658 0.268324
-7.23850012 -16.38179970 13.54730034 0.397742 0.140903 0.913935
-7.41190004 -16.43129921 13.85729980 0.164544 0.086271 0.273347
-7.99130011 -17.22760010 14.91339970 0.020628 0.292449 0.195341
-9.26539993 -16.74419975 13.87819958 0.506286 0.110262 0.580945
-7.44680023 -15.51099968 13.88329983 0.227186 0.107925 0.764702
-7.18340015 -16.08440018 15.03940010 0.373441 0.201762 0.369357
-6.88700008 -15.09899998 14.39109993 0.181639 0.221459 0.688486
-6.91039991 -14.92829990 14.41759968 0.210986 0.207027 0.988560
-9.41219997 -15.65830040 14.16059971 0.224983 0.039730 0.731632
-5.35230017 -17.29980087 19.38500023 0.183771 0.243663 0.099762
-9.02219963 -16.67070007 16.69219971 0.295426 0.224650 0.552112
-9.91829967 -16.88319969 16.50799942 0.217449 0.126864 0.704831
-8.49960041 -15.49250031 15.72000027 0.213982 0.146853 0.881901
-5.93660021 -15.38169956 17.88500023 0.295282 0.111295 0.712454
-7.18190002 -16.40570068 18.79520035 0.238642 0.186793 0.315417
-7.95550013 -16.24329948 18.32920074 0.182939 0.040412 0.667964
-9.16209984 -17.03300095 18.79310036 0.259792 0.155219 0.161533
-9.16779995 -16.91559982 18.79000092 0.415793 0.083912 0.014138
-5.42110014 -14.73569965 18.58869934 0.044537 0.202030 0.684199
-7.66359997 -16.51099968 19.82719994 0.542432 0.049593 0.042628
-5.40310001 -16.45280075 21.70660019 0.461451 0.080611 0.571170
-8.53999996 -16.36310005 19.48999977 0.101483 0.066473 0.089725
-7.39909983 -16.46269989 21.49160004 nan nan nan
-9.70930004 -15.09819984 -1.29429996 0.393877 0.162347 0.037281
-7.12150002 -16.33250046 3.19689989 0.747608 0.070817 0.949621
-8.08829975 -16.66099930 10.30270004 0.164388 0.212295 0.655493
-7.52930021 -16.80739975 9.96220016 0.355916 0.047986 0.057301
-7.01800013 -16.41589928 9.51189995 0.451508 0.082205 0.935543
-6.99020004 -16.49880028 9.51589966 0.567107 0.079164 0.990151
-6.45739985 -16.97069931 9.28979969 0.086194 0.041256 0.549451
-7.00449991 -16.44549942 6.36000013 0.745704 0.102140 0.933100
-7.01280022 -16.37859917 3.52670002 0.623471 0.075845 0.935873
-9.13840008 -16.46509933 19.72579956 0.411330 0.003791 0.808501
-8.53059959 -16.42779922 18.89979935 0.429086 0.055291 0.820192
-8.36859989 -16.58919907 18.75749969 0.786169 0.093082 0.964578
-7.58400011 -16.38030052 19.15999985 0.049377 0.230793 0.305013
